,Title,Brand,Price,Ratings,Sizes,Product Url,Image Url
0,2-in-1 Men's Short Sleeve Shorts Set - Blue,Fashion ,"KSh 1,190  - KSh 1,200 ",5,"['M', 'L', 'XL', 'XXL', 'XXXL', 'xxxxl']",https://www.jumia.co.ke/fashion-2-in-1-mens-short-sleeve-shorts-set-blue-21299838.html,"https://ke.jumia.is/qYFKZywlCBO65CHmj4Qq5XWbLLM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/83/899212/1.jpg?2498"
1,2 in 1 Men's Fashion Short Sleeve Set - Grey,Fashion ,"KSh 1,790 ",1,"['M', 'L', 'XL', 'XXL', 'XXXL', 'xxxxl']",https://www.jumia.co.ke/fashion-2-in-1-mens-fashion-short-sleeve-set-grey-15954971.html,"https://ke.jumia.is/zWxuoORiPGSDcb07ypZZmCjZhXI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/17/945951/1.jpg?8793"
2,White 3 In 1 Lux Premium Cotton Comfortable Vest + Free Pen,Lux Premiums ,KSh 528 ,2,"['M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/lux-premiums-white-3-in-1-lux-premium-cotton-comfortable-vest-free-pen-26422343.html,"https://ke.jumia.is/wcZKuIWrv5cQmCWe4tJXpRQ1CUU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/34/322462/1.jpg?5746"
3,Long Sleeved Floral Men's Slim Fit Shirt CS43 - Black&Gold,Fashion ,"KSh 1,262 ",2,"['M', 'L', 'XL', 'XXL', 'XXXL', '4XL']",https://www.jumia.co.ke/fashion-long-sleeved-floral-mens-slim-fit-shirt-cs43-blackgold-14132619.html,"https://ke.jumia.is/egoboT-qRpANDA0b7TUj-9ezJ28=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/91/623141/1.jpg?0594"
4,Men's Classic Long Sleeve Cotton Plaid Dress Shirt,Fashion ,KSh 898 ,2,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']",https://www.jumia.co.ke/fashion-mens-classic-long-sleeve-cotton-plaid-dress-shirt-24873909.html,"https://ke.jumia.is/C41CqSUH0pqcBdkui-0tkrhKkME=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/90/937842/1.jpg?4267"
5,"Three 3 pack plain tshirts blue, black, grey",Fashion ,"KSh 1,299 ",2,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/fashion-three-3-pack-plain-tshirts-blue-black-grey-19580001.html,"https://ke.jumia.is/ewYTWmiRia5M2dI5gtd2xNmkxvQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/10/008591/1.jpg?1291"
6,Men's Casual T Shirt Polo T Shirt Stripe Cotton T Shirt,Fashion ,"KSh 1,199 ",,"['M', 'L', 'XL', 'XXL', 'XXXL']",https://www.jumia.co.ke/fashion-mens-casual-t-shirt-polo-t-shirt-stripe-cotton-t-shirt-11219604.html,"https://ke.jumia.is/gXds1bW8EwUHODo026SRqH5xIpY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/40/691211/1.jpg?5592"
7,A Pack of 3 Round Neck Plain T-Shirt - White,Fashion ,KSh 999 ,1,"['S', 'M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-a-pack-of-3-round-neck-plain-t-shirt-white-15914665.html,"https://ke.jumia.is/0anZm1ymTRP0iVwZJS0puX6oFtY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/56/641951/1.jpg?2114"
8,"3 pack tshirts white, black, grey",Fashion ,"KSh 1,299 ",4,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/fashion-3-pack-tshirts-white-black-grey-24436792.html,"https://ke.jumia.is/glaITPJJo5suvSlR6JygPFSdhqg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/29/763442/1.jpg?1924"
9,Men's Long Sleeve Solid Button-down Dress Shirt,Fashion ,KSh 798 ,1,"['S', 'M', 'L', 'XL', 'XXL', 'XXXL']",https://www.jumia.co.ke/fashion-mens-long-sleeve-solid-button-down-dress-shirt-25855315.html,"https://ke.jumia.is/6gCEmrrl29Sea5ynHSjagv0V2cw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/51/355852/1.jpg?3632"
10,Navy Blue Long sleeve t shirt,Fashion ,KSh 750 ,1,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/fashion-navy-blue-long-sleeve-t-shirt-25859885.html,"https://ke.jumia.is/I2oX9wnThO2yRWQpdlKeNdTfdcQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/58/895852/1.jpg?8491"
